seed,gridsize,ncount,method,runtime
99,100,26,2,1.042018
99,100,26,4,0.005963
99,100,26,6,34.489755
67,100,27,2,29.553463
67,100,27,4,0.011716
67,100,27,6,123.753504
98,100,28,2,37.328568
98,100,28,4,0.015164
98,100,28,6,
35,100,29,2,6.514703
35,100,29,4,0.015613
35,100,29,6,
37,100,30,2,21.422368
37,100,30,4,0.01591
37,100,30,6,
60,100,31,2,57.712582
60,100,31,4,0.016048
60,100,31,6,
23,100,32,2,
23,100,32,4,0.024553
23,100,32,6,
66,1000,26,2,12.704707
66,1000,26,4,0.006691
66,1000,26,6,33.921799
98,1000,27,2,11.011122
98,1000,27,4,0.007551
98,1000,27,6,96.209398
37,1000,28,2,1.713969
37,1000,28,4,0.007446
37,1000,28,6,204.345778
18,1000,29,2,8.380891
18,1000,29,4,0.035112
18,1000,29,6,
2,1000,30,2,0.421111
2,1000,30,4,0.007983
2,1000,30,6,
11,1000,31,2,56.230067
11,1000,31,4,0.011134
11,1000,31,6,
9,1000,32,2,5.049981
9,1000,32,4,0.031353
9,1000,32,6,
1,5000,26,2,263.065755
1,5000,26,4,0.013936
1,5000,26,6,33.783692
21,5000,27,2,1.553293
21,5000,27,4,0.00441
21,5000,27,6,74.595191
17,5000,28,2,1.766666
17,5000,28,4,0.00639
17,5000,28,6,162.622728
2,5000,29,2,9.792432
2,5000,29,4,0.007746
2,5000,29,6,
80,5000,30,2,
80,5000,30,4,0.019292
80,5000,30,6,
87,5000,31,2,
87,5000,31,4,0.487673
87,5000,31,6,
93,5000,32,2,20.490001
93,5000,32,4,0.048792
93,5000,32,6,
30,100,26,2,25.451497
30,100,26,4,0.010625
30,100,26,6,34.129506
38,100,27,2,2.688527
38,100,27,4,0.005799
38,100,27,6,74.773695
89,100,28,2,1.264856
89,100,28,4,0.006681
89,100,28,6,185.663261
51,100,29,2,0.21611
51,100,29,4,0.585029
51,100,29,6,
77,100,30,2,0.988262
77,100,30,4,0.005234
77,100,30,6,
73,100,31,2,15.596267
73,100,31,4,0.014883
73,100,31,6,
94,100,32,2,6.388485
94,100,32,4,0.017836
94,100,32,6,
4,1000,26,2,1.450146
4,1000,26,4,0.005956
4,1000,26,6,33.678058
42,1000,27,2,0.264434
42,1000,27,4,0.004924
42,1000,27,6,74.387054
54,1000,28,2,0.304277
54,1000,28,4,0.007404
54,1000,28,6,163.007228
22,1000,29,2,206.24557
22,1000,29,4,0.026459
22,1000,29,6,
56,1000,30,2,305.09833
56,1000,30,4,0.014215
56,1000,30,6,
91,1000,31,2,8.955035
91,1000,31,4,0.030013
91,1000,31,6,
84,1000,32,2,0.847248
84,1000,32,4,0.007494
84,1000,32,6,
26,5000,26,2,10.971361
26,5000,26,4,0.007595
26,5000,26,6,33.608287
10,5000,27,2,42.161496
10,5000,27,4,0.0059
10,5000,27,6,73.826079
45,5000,28,2,46.913235
45,5000,28,4,0.014825
45,5000,28,6,160.382281
27,5000,29,2,53.78292
27,5000,29,4,0.008635
27,5000,29,6,
8,5000,30,2,18.426095
8,5000,30,4,0.010407
8,5000,30,6,
23,5000,31,2,7.563749
23,5000,31,4,0.008674
23,5000,31,6,
39,5000,32,2,140.098928
39,5000,32,4,0.013548
39,5000,32,6,
3,100,26,2,17.615342
3,100,26,4,0.615181
3,100,26,6,74.819691
11,100,27,2,64.646445
11,100,27,4,0.009519
11,100,27,6,
43,100,28,2,270.747057
43,100,28,4,5.453802
43,100,28,6,
26,100,29,2,462.953463
26,100,29,4,0.029204
26,100,29,6,
54,100,30,2,174.384336
54,100,30,4,0.067689
54,100,30,6,
17,100,31,2,27.610946
17,100,31,4,0.024012
17,100,31,6,
23,100,32,2,
23,100,32,4,1.634455
23,100,32,6,
76,1000,26,2,24.135757
76,1000,26,4,4.808129
76,1000,26,6,
81,1000,27,2,0.095713
81,1000,27,4,3.265565
81,1000,27,6,
37,1000,28,2,1.999219
37,1000,28,4,0.007495
37,1000,28,6,
68,1000,29,2,33.148006
68,1000,29,4,0.022346
68,1000,29,6,
57,1000,30,2,2.68134
57,1000,30,4,0.448811
57,1000,30,6,
60,1000,31,2,
60,1000,31,4,0.029856
60,1000,31,6,
55,1000,32,2,74.310152
55,1000,32,4,0.013221
55,1000,32,6,
39,5000,26,2,134.506723
39,5000,26,4,0.006685
39,5000,26,6,54.472789
93,5000,27,2,1.290389
93,5000,27,4,0.01069
93,5000,27,6,117.345563
40,5000,28,2,486.349596
40,5000,28,4,0.037137
40,5000,28,6,162.395628
67,5000,29,2,23.265006
67,5000,29,4,0.008767
67,5000,29,6,
77,5000,30,2,207.601426
77,5000,30,4,0.020461
77,5000,30,6,
80,5000,31,2,598.540976
80,5000,31,4,0.020997
80,5000,31,6,
20,5000,32,2,371.540945
20,5000,32,4,0.017263
20,5000,32,6,
71,100,26,2,0.838971
71,100,26,4,0.019301
71,100,26,6,114.726277
26,100,27,2,163.578399
26,100,27,4,0.032789
26,100,27,6,118.004063
82,100,28,2,54.551536
82,100,28,4,3.473842
82,100,28,6,
1,100,29,2,2.994406
1,100,29,4,0.651627
1,100,29,6,
79,100,30,2,3.876343
79,100,30,4,0.451772
79,100,30,6,
86,100,31,2,
86,100,31,4,1.882237
86,100,31,6,
4,100,32,2,36.391805
4,100,32,4,0.012305
4,100,32,6,
53,1000,26,2,0.831408
53,1000,26,4,0.006938
53,1000,26,6,34.497286
16,1000,27,2,12.327423
16,1000,27,4,0.00582
16,1000,27,6,124.99799
25,1000,28,2,
25,1000,28,4,0.021021
25,1000,28,6,163.254625
99,1000,29,2,145.830271
99,1000,29,4,0.010062
99,1000,29,6,
70,1000,30,2,0.844356
70,1000,30,4,0.010096
70,1000,30,6,
66,1000,31,2,51.283272
66,1000,31,4,0.866982
66,1000,31,6,
59,1000,32,2,313.460139
59,1000,32,4,0.034394
59,1000,32,6,
79,5000,26,2,10.257967
79,5000,26,4,0.029566
79,5000,26,6,33.594854
86,5000,27,2,2.52965
86,5000,27,4,0.007374
86,5000,27,6,74.168663
25,5000,28,2,35.255752
25,5000,28,4,0.006266
25,5000,28,6,164.07077
53,5000,29,2,144.415863
53,5000,29,4,0.022773
53,5000,29,6,
34,5000,30,2,50.091071
34,5000,30,4,0.016214
34,5000,30,6,
1,5000,31,2,50.482275
1,5000,31,4,0.010166
1,5000,31,6,
81,5000,32,2,
81,5000,32,4,0.025169
81,5000,32,6,
69,100,26,2,0.12781
69,100,26,4,0.003365
69,100,26,6,34.036108
89,100,27,2,0.582521
89,100,27,4,0.006292
89,100,27,6,75.532828
53,100,28,2,0.733667
53,100,28,4,0.00961
53,100,28,6,239.269797
34,100,29,2,160.256703
34,100,29,4,0.01003
34,100,29,6,
12,100,30,2,139.223264
12,100,30,4,0.019421
12,100,30,6,
72,100,31,2,0.703274
72,100,31,4,0.006984
72,100,31,6,
15,100,32,2,7.576268
15,100,32,4,0.007904
15,100,32,6,
11,1000,26,2,44.869611
11,1000,26,4,0.010276
11,1000,26,6,33.541363
6,1000,27,2,1.422451
6,1000,27,4,0.011333
6,1000,27,6,74.531662
63,1000,28,2,97.293935
63,1000,28,4,0.006709
63,1000,28,6,162.413124
85,1000,29,2,24.706375
85,1000,29,4,0.008777
85,1000,29,6,
58,1000,30,2,166.675882
58,1000,30,4,0.020166
58,1000,30,6,
39,1000,31,2,51.84737
39,1000,31,4,0.009057
39,1000,31,6,
72,1000,32,2,1.542396
72,1000,32,4,0.010505
72,1000,32,6,
24,5000,26,2,4.363036
24,5000,26,4,0.011868
24,5000,26,6,33.454697
100,5000,27,2,334.202343
100,5000,27,4,0.005463
100,5000,27,6,74.648496
35,5000,28,2,191.395395
35,5000,28,4,0.017474
35,5000,28,6,162.317718
12,5000,29,2,7.707217
12,5000,29,4,0.007746
12,5000,29,6,
75,5000,30,2,5.489451
75,5000,30,4,0.008913
75,5000,30,6,
64,5000,31,2,52.477636
64,5000,31,4,0.03047
64,5000,31,6,
34,5000,32,2,366.771658
34,5000,32,4,0.023896
34,5000,32,6,
96,100,26,2,23.302805
96,100,26,4,0.008711
96,100,26,6,34.618054
20,100,27,2,6.695302
20,100,27,4,0.012943
20,100,27,6,124.058036
93,100,28,2,0.158434
93,100,28,4,0.004758
93,100,28,6,
1,100,29,2,2.258755
1,100,29,4,0.006304
1,100,29,6,
63,100,30,2,5.946425
63,100,30,4,0.01905
63,100,30,6,
6,100,31,2,190.738774
6,100,31,4,0.474859
6,100,31,6,
87,100,32,2,166.229497
87,100,32,4,0.024027
87,100,32,6,
39,1000,26,2,29.332586
39,1000,26,4,0.011469
39,1000,26,6,33.859324
55,1000,27,2,0.67042
55,1000,27,4,0.004991
55,1000,27,6,74.831387
63,1000,28,2,97.569138
63,1000,28,4,0.006616
63,1000,28,6,179.130459
79,1000,29,2,0.040622
79,1000,29,4,0.760575
79,1000,29,6,
98,1000,30,2,50.143243
98,1000,30,4,0.014493
98,1000,30,6,
42,1000,31,2,0.439795
42,1000,31,4,0.005914
42,1000,31,6,
10,1000,32,2,4.922996
10,1000,32,4,0.010513
10,1000,32,6,
37,5000,26,2,20.511836
37,5000,26,4,0.005668
37,5000,26,6,33.436241
97,5000,27,2,14.046574
97,5000,27,4,0.00923
97,5000,27,6,74.076478
13,5000,28,2,89.899078
13,5000,28,4,0.014936
13,5000,28,6,163.103372
22,5000,29,2,5.193443
22,5000,29,4,0.005311
22,5000,29,6,
7,5000,30,2,
7,5000,30,4,0.072227
7,5000,30,6,
26,5000,31,2,8.946841
26,5000,31,4,0.009511
26,5000,31,6,
93,5000,32,2,20.564418
93,5000,32,4,0.048503
93,5000,32,6,
52,100,26,2,1.141482
52,100,26,4,0.006178
52,100,26,6,34.101344
51,100,27,2,8.695653
51,100,27,4,0.009965
51,100,27,6,75.344834
9,100,28,2,64.732199
9,100,28,4,0.139514
9,100,28,6,
21,100,29,2,149.632483
21,100,29,4,0.029479
21,100,29,6,
60,100,30,2,11.699885
60,100,30,4,0.011832
60,100,30,6,
94,100,31,2,4.318044
94,100,31,4,0.04533
94,100,31,6,
84,100,32,2,30.250666
84,100,32,4,0.640951
84,100,32,6,
57,1000,26,2,4.94301
57,1000,26,4,0.00526
57,1000,26,6,34.591266
94,1000,27,2,4.252357
94,1000,27,4,0.00519
94,1000,27,6,150.125448
7,1000,28,2,0.412805
7,1000,28,4,0.006429
7,1000,28,6,212.857491
53,1000,29,2,2.410523
53,1000,29,4,0.015846
53,1000,29,6,
64,1000,30,2,0.19335
64,1000,30,4,0.011639
64,1000,30,6,
14,1000,31,2,141.942372
14,1000,31,4,0.031919
14,1000,31,6,
28,1000,32,2,486.41468
28,1000,32,4,0.056609
28,1000,32,6,
30,5000,26,2,6.077082
30,5000,26,4,0.007241
30,5000,26,6,33.81944
96,5000,27,2,4.94016
96,5000,27,4,0.010944
96,5000,27,6,89.636453
87,5000,28,2,
87,5000,28,4,0.416275
87,5000,28,6,163.090583
14,5000,29,2,216.813835
14,5000,29,4,0.032898
14,5000,29,6,
33,5000,30,2,46.340268
33,5000,30,4,0.014115
33,5000,30,6,
53,5000,31,2,61.704784
53,5000,31,4,0.008324
53,5000,31,6,
39,5000,32,2,139.853475
39,5000,32,4,0.014079
39,5000,32,6,
48,100,26,2,2.093238
48,100,26,4,0.005158
48,100,26,6,34.457658
15,100,27,2,1.369581
15,100,27,4,0.005902
15,100,27,6,182.895087
10,100,28,2,5.997871
10,100,28,4,0.006604
10,100,28,6,
52,100,29,2,3.041493
52,100,29,4,0.00796
52,100,29,6,
93,100,30,2,0.085668
93,100,30,4,0.004085
93,100,30,6,
56,100,31,2,85.039764
56,100,31,4,0.014474
56,100,31,6,
73,100,32,2,28.369129
73,100,32,4,0.190765
73,100,32,6,
44,1000,26,2,0.983384
44,1000,26,4,0.208344
44,1000,26,6,
14,1000,27,2,123.101289
14,1000,27,4,0.906684
14,1000,27,6,
47,1000,28,2,
47,1000,28,4,0.049887
47,1000,28,6,
34,1000,29,2,151.899428
34,1000,29,4,0.009735
34,1000,29,6,
100,1000,30,2,1.257942
100,1000,30,4,0.010317
100,1000,30,6,
48,1000,31,2,280.618588
48,1000,31,4,0.070956
48,1000,31,6,
26,1000,32,2,5.193763
26,1000,32,4,0.024116
26,1000,32,6,
41,5000,26,2,93.256462
41,5000,26,4,0.011713
41,5000,26,6,33.993719
6,5000,27,2,4.928856
6,5000,27,4,0.006989
6,5000,27,6,74.700079
11,5000,28,2,25.24336
11,5000,28,4,0.00923
11,5000,28,6,163.880592
28,5000,29,2,
28,5000,29,4,0.018864
28,5000,29,6,
28,5000,30,2,367.572994
28,5000,30,4,0.017734
28,5000,30,6,
55,5000,31,2,11.458284
55,5000,31,4,0.008093
55,5000,31,6,
91,5000,32,2,194.245638
91,5000,32,4,0.009939
91,5000,32,6,
97,100,26,2,0.509656
97,100,26,4,2.97497
97,100,26,6,
82,100,27,2,14.308857
82,100,27,4,0.528434
82,100,27,6,230.139424
47,100,28,2,1.041799
47,100,28,4,0.006217
47,100,28,6,278.305717
47,100,29,2,1.291244
47,100,29,4,0.008406
47,100,29,6,
46,100,30,2,3.29482
46,100,30,4,0.026729
46,100,30,6,
10,100,31,2,86.346659
10,100,31,4,0.010763
10,100,31,6,
1,100,32,2,20.729617
1,100,32,4,3.702782
1,100,32,6,
12,1000,26,2,12.474726
12,1000,26,4,1.250894
12,1000,26,6,
34,1000,27,2,18.660522
34,1000,27,4,0.457268
34,1000,27,6,
34,1000,28,2,74.540926
34,1000,28,4,0.008009
34,1000,28,6,240.723569
60,1000,29,2,
60,1000,29,4,0.017316
60,1000,29,6,
29,1000,30,2,4.850845
29,1000,30,4,0.006566
29,1000,30,6,
82,1000,31,2,1.268693
82,1000,31,4,0.008109
82,1000,31,6,
39,1000,32,2,41.792102
39,1000,32,4,0.00969
39,1000,32,6,
54,5000,26,2,6.919687
54,5000,26,4,0.005056
54,5000,26,6,34.01954
86,5000,27,2,2.519174
86,5000,27,4,0.007329
86,5000,27,6,75.595186
57,5000,28,2,32.92607
57,5000,28,4,0.008092
57,5000,28,6,226.809681
9,5000,29,2,50.80543
9,5000,29,4,0.009529
9,5000,29,6,
18,5000,30,2,
18,5000,30,4,0.012496
18,5000,30,6,
54,5000,31,2,43.820043
54,5000,31,4,0.008876
54,5000,31,6,
1,5000,32,2,63.622361
1,5000,32,4,0.011541
1,5000,32,6,
37,100,26,2,113.228463
37,100,26,4,0.716834
37,100,26,6,
47,100,27,2,12.034689
47,100,27,4,0.478412
47,100,27,6,
94,100,28,2,4.152877
94,100,28,4,0.712371
94,100,28,6,
78,100,29,2,32.33873
78,100,29,4,0.84307
78,100,29,6,
57,100,30,2,44.638739
57,100,30,4,0.053382
57,100,30,6,
80,100,31,2,62.563253
80,100,31,4,0.014275
80,100,31,6,
3,100,32,2,115.647924
3,100,32,4,1.215293
3,100,32,6,
17,1000,26,2,
17,1000,26,4,0.030068
17,1000,26,6,34.116281
81,1000,27,2,0.09509
81,1000,27,4,0.003786
81,1000,27,6,75.095375
25,1000,28,2,
25,1000,28,4,0.020916
25,1000,28,6,
75,1000,29,2,20.476444
75,1000,29,4,0.185161
75,1000,29,6,
26,1000,30,2,4.688086
26,1000,30,4,0.048896
26,1000,30,6,
6,1000,31,2,80.394277
6,1000,31,4,0.044075
6,1000,31,6,
68,1000,32,2,168.941926
68,1000,32,4,0.03905
68,1000,32,6,
4,5000,26,2,6.101152
4,5000,26,4,0.008012
4,5000,26,6,33.84287
52,5000,27,2,6.238404
52,5000,27,4,0.005133
52,5000,27,6,74.650542
92,5000,28,2,3.243643
92,5000,28,4,0.007815
92,5000,28,6,163.565146
9,5000,29,2,50.722217
9,5000,29,4,0.009606
9,5000,29,6,
49,5000,30,2,18.747525
49,5000,30,4,0.014619
49,5000,30,6,
22,5000,31,2,18.34326
22,5000,31,4,0.00866
22,5000,31,6,
5,5000,32,2,74.123886
5,5000,32,4,0.023807
5,5000,32,6,
1,100,26,2,15.442382
1,100,26,4,0.020259
1,100,26,6,34.236889
48,100,27,2,1.732895
48,100,27,4,0.00557
48,100,27,6,141.566927
22,100,28,2,10.670723
22,100,28,4,0.027169
22,100,28,6,241.239925
58,100,29,2,0.708719
58,100,29,4,0.004606
58,100,29,6,
84,100,30,2,42.129227
84,100,30,4,0.04008
84,100,30,6,
78,100,31,2,45.886785
78,100,31,4,0.027001
78,100,31,6,
78,100,32,2,72.805107
78,100,32,4,1.367165
78,100,32,6,
54,1000,26,2,1.426483
54,1000,26,4,2.721408
54,1000,26,6,
83,1000,27,2,8.873996
83,1000,27,4,1.31114
83,1000,27,6,
12,1000,28,2,49.639817
12,1000,28,4,0.016446
12,1000,28,6,
79,1000,29,2,0.045037
79,1000,29,4,0.005383
79,1000,29,6,
39,1000,30,2,36.086309
39,1000,30,4,0.007989
39,1000,30,6,
44,1000,31,2,1.040081
44,1000,31,4,0.008667
44,1000,31,6,
59,1000,32,2,308.539549
59,1000,32,4,0.035008
59,1000,32,6,
19,5000,26,2,1.237252
19,5000,26,4,0.007886
19,5000,26,6,33.577751
