seed,gridsize,ncount,method,runtime
63,100,20,2,4.123984
63,100,20,3,11.561915
63,100,20,4,4.001717
63,100,20,5,3.031334
63,100,20,6,6.622557
20,100,21,2,0.691694
20,100,21,3,114.750231
20,100,21,4,0.239342
20,100,21,5,7.297412
20,100,21,6,2.960722
33,100,22,2,0.122922
33,100,22,3,69.879399
33,100,22,4,0.003795
33,100,22,5,18.4117
33,100,22,6,1.483958
78,100,23,2,0.064406
78,100,23,3,205.793648
78,100,23,4,0.663387
78,100,23,5,42.97808
78,100,23,6,10.044899
50,100,24,2,55.173004
50,100,24,3,
50,100,24,4,0.029376
50,100,24,5,100.203227
50,100,24,6,31.622004
50,100,25,2,104.184951
50,100,25,3,
50,100,25,4,0.852094
50,100,25,5,385.353161
50,100,25,6,61.19214
100,1000,20,2,0.095153
100,1000,20,3,8.211818
100,1000,20,4,0.003557
100,1000,20,5,3.220982
100,1000,20,6,0.303346
90,1000,21,2,1.132883
90,1000,21,3,120.728977
90,1000,21,4,0.003515
90,1000,21,5,7.879448
90,1000,21,6,0.683084
99,1000,22,2,3.377515
99,1000,22,3,91.546016
99,1000,22,4,0.016674
99,1000,22,5,18.686619
99,1000,22,6,1.494836
62,1000,23,2,19.118082
62,1000,23,3,99.353898
62,1000,23,4,0.008902
62,1000,23,5,42.721369
62,1000,23,6,3.310119
61,1000,24,2,17.648365
61,1000,24,3,
61,1000,24,4,0.502322
61,1000,24,5,105.560495
61,1000,24,6,7.283084
42,1000,25,2,0.153827
42,1000,25,3,
42,1000,25,4,0.005048
42,1000,25,5,240.848406
42,1000,25,6,68.110501
35,5000,20,2,1.733551
35,5000,20,3,53.432687
35,5000,20,4,0.315033
35,5000,20,5,3.229658
35,5000,20,6,0.302671
94,5000,21,2,12.337063
94,5000,21,3,70.342742
94,5000,21,4,0.004191
94,5000,21,5,7.70644
94,5000,21,6,0.690807
19,5000,22,2,0.961217
19,5000,22,3,167.738686
19,5000,22,4,0.241981
19,5000,22,5,17.466249
19,5000,22,6,1.48567
89,5000,23,2,52.263411
89,5000,23,3,150.469501
89,5000,23,4,0.02461
89,5000,23,5,41.414325
89,5000,23,6,3.291747
8,5000,24,2,43.308424
8,5000,24,3,521.607666
8,5000,24,4,0.005008
8,5000,24,5,95.254045
8,5000,24,6,7.110569
47,5000,25,2,0.656136
47,5000,25,3,
47,5000,25,4,0.306813
47,5000,25,5,289.155615
47,5000,25,6,15.699962
40,100,20,2,0.98304
40,100,20,3,19.931488
40,100,20,4,0.00332
40,100,20,5,3.434247
40,100,20,6,0.308471
25,100,21,2,2.117606
25,100,21,3,63.900076
25,100,21,4,1.043783
25,100,21,5,7.567123
25,100,21,6,4.715041
65,100,22,2,20.93701
65,100,22,3,56.427042
65,100,22,4,0.005287
65,100,22,5,16.401016
65,100,22,6,29.670472
10,100,23,2,0.208186
10,100,23,3,255.029992
10,100,23,4,0.005314
10,100,23,5,40.555927
10,100,23,6,22.856387
59,100,24,2,
59,100,24,3,
59,100,24,4,0.052519
59,100,24,5,98.530667
59,100,24,6,7.254096
55,100,25,2,4.059954
55,100,25,3,
55,100,25,4,0.006528
55,100,25,5,
55,100,25,6,162.61378
69,1000,20,2,5.483576
69,1000,20,3,8.516456
69,1000,20,4,0.003482
69,1000,20,5,3.403373
69,1000,20,6,0.30895
35,1000,21,2,0.289741
35,1000,21,3,19.976569
35,1000,21,4,0.00441
35,1000,21,5,7.817557
35,1000,21,6,0.676987
66,1000,22,2,3.810807
66,1000,22,3,44.96562
66,1000,22,4,0.004104
66,1000,22,5,17.354549
66,1000,22,6,2.761181
29,1000,23,2,0.728503
29,1000,23,3,161.69652
29,1000,23,4,0.01737
29,1000,23,5,39.29473
29,1000,23,6,3.214807
26,1000,24,2,1.34541
26,1000,24,3,444.410022
26,1000,24,4,0.004801
26,1000,24,5,99.466708
26,1000,24,6,7.114796
3,1000,25,2,10.637462
3,1000,25,3,
3,1000,25,4,0.008078
3,1000,25,5,502.786182
3,1000,25,6,15.689817
87,5000,20,2,4.303374
87,5000,20,3,8.238919
87,5000,20,4,0.005334
87,5000,20,5,3.091712
87,5000,20,6,0.303827
80,5000,21,2,3.694661
80,5000,21,3,98.972622
80,5000,21,4,0.004797
80,5000,21,5,7.644513
80,5000,21,6,0.672667
48,5000,22,2,8.77949
48,5000,22,3,65.258176
48,5000,22,4,0.008405
48,5000,22,5,16.872491
48,5000,22,6,1.466825
52,5000,23,2,7.399933
52,5000,23,3,124.069008
52,5000,23,4,1.467744
52,5000,23,5,38.206044
52,5000,23,6,3.234552
28,5000,24,2,180.13039
28,5000,24,3,270.609199
28,5000,24,4,0.018204
28,5000,24,5,92.642098
28,5000,24,6,7.143503
36,5000,25,2,0.706081
36,5000,25,3,
36,5000,25,4,0.005625
36,5000,25,5,223.163011
36,5000,25,6,15.586159
41,100,20,2,0.004397
41,100,20,3,7.366229
41,100,20,4,0.002197
41,100,20,5,2.886777
41,100,20,6,0.294891
94,100,21,2,0.595832
94,100,21,3,17.22942
94,100,21,4,0.004868
94,100,21,5,6.329897
94,100,21,6,0.649275
94,100,22,2,0.819568
94,100,22,3,39.409187
94,100,22,4,0.006891
94,100,22,5,15.104416
94,100,22,6,1.444923
30,100,23,2,9.002391
30,100,23,3,93.938733
30,100,23,4,0.004622
30,100,23,5,36.99998
30,100,23,6,3.256341
89,100,24,2,0.429381
89,100,24,3,244.099207
89,100,24,4,0.00482
89,100,24,5,97.500031
89,100,24,6,7.197788
82,100,25,2,9.876245
82,100,25,3,
82,100,25,4,0.692251
82,100,25,5,220.398828
82,100,25,6,16.111374
7,1000,20,2,0.081021
7,1000,20,3,8.424171
7,1000,20,4,0.003346
7,1000,20,5,3.397206
7,1000,20,6,0.307156
93,1000,21,2,3.948558
93,1000,21,3,24.357658
93,1000,21,4,0.859094
93,1000,21,5,7.242945
93,1000,21,6,0.658143
51,1000,22,2,11.876174
51,1000,22,3,128.614358
51,1000,22,4,0.037079
51,1000,22,5,16.899185
51,1000,22,6,1.855689
74,1000,23,2,15.23924
74,1000,23,3,198.293872
74,1000,23,4,0.158694
74,1000,23,5,39.560832
74,1000,23,6,13.409606
42,1000,24,2,0.159521
42,1000,24,3,457.82145
42,1000,24,4,0.004073
42,1000,24,5,97.196822
42,1000,24,6,36.689816
55,1000,25,2,0.774063
55,1000,25,3,
55,1000,25,4,0.004224
55,1000,25,5,236.413008
55,1000,25,6,32.5768
63,5000,20,2,2.645859
63,5000,20,3,8.486039
63,5000,20,4,0.003275
63,5000,20,5,3.262772
63,5000,20,6,0.639029
77,5000,21,2,1.034475
77,5000,21,3,62.552678
77,5000,21,4,13.904962
77,5000,21,5,62.59923
77,5000,21,6,0.657681
26,5000,22,2,15.25679
26,5000,22,3,222.702221
26,5000,22,4,0.003734
26,5000,22,5,18.144626
26,5000,22,6,1.485873
54,5000,23,2,15.63001
54,5000,23,3,138.193924
54,5000,23,4,0.004244
54,5000,23,5,43.844512
54,5000,23,6,3.400411
64,5000,24,2,149.331898
