seed,gridsize,ncount,method,runtime
31,100,5,1,0.000002
31,100,5,2,0.000105
31,100,5,3,0.000023
31,100,5,4,0.002648
31,100,5,5,0.000005
31,100,5,6,0.000007
58,100,6,1,0.000004
58,100,6,2,0.000215
58,100,6,3,0.00005
58,100,6,4,0.002223
58,100,6,5,0.000007
58,100,6,6,0.000008
69,100,7,1,0.000017
69,100,7,2,0.001037
69,100,7,3,0.000095
69,100,7,4,0.00129
69,100,7,5,0.000016
69,100,7,6,0.000014
69,100,8,1,0.000068
69,100,8,2,0.006357
69,100,8,3,0.00022
69,100,8,4,0.001429
69,100,8,5,0.000036
69,100,8,6,0.000025
62,100,9,1,0.000422
62,100,9,2,0.104531
62,100,9,3,0.000524
62,100,9,4,0.001255
62,100,9,5,0.000074
62,100,9,6,0.000044
82,100,10,1,0.002979
82,100,10,2,0.000358
82,100,10,3,0.001251
82,100,10,4,0.001049
82,100,10,5,0.000164
82,100,10,6,0.000091
22,100,11,1,0.012776
22,100,11,2,0.195111
22,100,11,3,0.003096
22,100,11,4,0.0016
22,100,11,5,0.000382
22,100,11,6,0.000203
81,100,12,1,0.079239
81,100,12,2,0.007077
81,100,12,3,0.007539
81,100,12,4,0.00169
81,100,12,5,0.000889
81,100,12,6,0.00046
42,100,13,1,0.26725
42,100,13,2,0.794957
42,100,13,3,0.017646
42,100,13,4,0.001784
42,100,13,5,0.002188
42,100,13,6,0.001046
29,100,14,1,1.298669
29,100,14,2,0.008282
29,100,14,3,0.042447
29,100,14,4,0.002095
29,100,14,5,0.005739
29,100,14,6,0.002367
30,100,15,1,18.669857
30,100,15,2,0.479
30,100,15,3,0.100823
30,100,15,4,0.003758
30,100,15,5,0.014291
30,100,15,6,0.005299
56,100,16,1,12.833548
56,100,16,2,0.112137
56,100,16,3,0.249688
56,100,16,4,0.002635
56,100,16,5,0.03752
56,100,16,6,0.011879
29,100,17,1,158.396018
29,100,17,2,0.133057
29,100,17,3,0.615181
29,100,17,4,0.003421
29,100,17,5,0.091541
29,100,17,6,0.026546
62,100,18,1,282.96254
62,100,18,2,1.006483
62,100,18,3,1.395791
62,100,18,4,0.00345
62,100,18,5,0.264366
62,100,18,6,0.059462
87,100,19,1,
87,100,19,2,3.45469
87,100,19,3,3.277627
87,100,19,4,0.004264
87,100,19,5,1.304657
87,100,19,6,0.132965
14,1000,5,1,0.000002
14,1000,5,2,0.000703
14,1000,5,3,0.000026
14,1000,5,4,0.001204
14,1000,5,5,0.000005
14,1000,5,6,0.000005
44,1000,6,1,0.000004
44,1000,6,2,0.000617
44,1000,6,3,0.000041
44,1000,6,4,0.000812
44,1000,6,5,0.000007
44,1000,6,6,0.000007
3,1000,7,1,0.000017
3,1000,7,2,0.000953
3,1000,7,3,0.000091
3,1000,7,4,0.000837
3,1000,7,5,0.000015
3,1000,7,6,0.000011
8,1000,8,1,0.00008
8,1000,8,2,0.021394
8,1000,8,3,0.000214
8,1000,8,4,0.001013
8,1000,8,5,0.000033
8,1000,8,6,0.00002
47,1000,9,1,0.000584
47,1000,9,2,0.276294
47,1000,9,3,0.000515
47,1000,9,4,0.0012
47,1000,9,5,0.000072
47,1000,9,6,0.000041
91,1000,10,1,0.002873
91,1000,10,2,0.004588
91,1000,10,3,0.001227
91,1000,10,4,0.000985
91,1000,10,5,0.00016
91,1000,10,6,0.000089
27,1000,11,1,0.010461
27,1000,11,2,0.020816
27,1000,11,3,0.003016
27,1000,11,4,0.001223
27,1000,11,5,0.000369
27,1000,11,6,0.000202
69,1000,12,1,0.070592
69,1000,12,2,0.187179
69,1000,12,3,0.007223
69,1000,12,4,0.001343
69,1000,12,5,0.000887
69,1000,12,6,0.00046
38,1000,13,1,0.137957
38,1000,13,2,0.006911
38,1000,13,3,0.017117
38,1000,13,4,0.001203
38,1000,13,5,0.002193
38,1000,13,6,0.00104
13,1000,14,1,0.699121
13,1000,14,2,0.030963
13,1000,14,3,0.041226
13,1000,14,4,0.001757
13,1000,14,5,0.005673
13,1000,14,6,0.002383
34,1000,15,1,4.21304
34,1000,15,2,0.024286
34,1000,15,3,0.099566
34,1000,15,4,0.002169
34,1000,15,5,0.014197
34,1000,15,6,0.005298
35,1000,16,1,5.571084
35,1000,16,2,0.0301
35,1000,16,3,0.247658
35,1000,16,4,0.002589
35,1000,16,5,0.03738
35,1000,16,6,0.011886
43,1000,17,1,
43,1000,17,2,0.727422
43,1000,17,3,0.611146
43,1000,17,4,0.00275
43,1000,17,5,0.091654
43,1000,17,6,0.026532
61,1000,18,1,
61,1000,18,2,0.16978
61,1000,18,3,1.405589
61,1000,18,4,0.003059
61,1000,18,5,0.269594
61,1000,18,6,0.059564
28,1000,19,1,
28,1000,19,2,2.782547
28,1000,19,3,3.4411
28,1000,19,4,0.003551
28,1000,19,5,1.227476
28,1000,19,6,0.136863
1,5000,5,1,0.000002
1,5000,5,2,0.003467
1,5000,5,3,0.000026
1,5000,5,4,0.001233
1,5000,5,5,0.000005
1,5000,5,6,0.000007
60,5000,6,1,0.000004
60,5000,6,2,0.005046
60,5000,6,3,0.000046
60,5000,6,4,0.001235
60,5000,6,5,0.000008
60,5000,6,6,0.000009
4,5000,7,1,0.000015
4,5000,7,2,0.001184
4,5000,7,3,0.000095
4,5000,7,4,0.001247
4,5000,7,5,0.000017
4,5000,7,6,0.000013
32,5000,8,1,0.000091
32,5000,8,2,0.166344
32,5000,8,3,0.00021
32,5000,8,4,0.001599
32,5000,8,5,0.000034
32,5000,8,6,0.000023
48,5000,9,1,0.000563
48,5000,9,2,0.013017
48,5000,9,3,0.000496
48,5000,9,4,0.00137
48,5000,9,5,0.000072
48,5000,9,6,0.000042
67,5000,10,1,0.00154
67,5000,10,2,0.045423
67,5000,10,3,0.001238
67,5000,10,4,0.001916
67,5000,10,5,0.000159
67,5000,10,6,0.000089
19,5000,11,1,0.016457
19,5000,11,2,0.23024
19,5000,11,3,0.003047
19,5000,11,4,0.001981
19,5000,11,5,0.000361
19,5000,11,6,0.000201
73,5000,12,1,0.019696
73,5000,12,2,0.010458
73,5000,12,3,0.007308
73,5000,12,4,0.001446
73,5000,12,5,0.000871
73,5000,12,6,0.000451
32,5000,13,1,0.127828
32,5000,13,2,10.35283
32,5000,13,3,0.017509
32,5000,13,4,0.00211
32,5000,13,5,0.002212
32,5000,13,6,0.001051
56,5000,14,1,1.35388
56,5000,14,2,0.307919
56,5000,14,3,0.043645
56,5000,14,4,0.00193
56,5000,14,5,0.005666
56,5000,14,6,0.00237
64,5000,15,1,5.763071
64,5000,15,2,10.403552
64,5000,15,3,0.10869
64,5000,15,4,0.002431
64,5000,15,5,0.014308
64,5000,15,6,0.005334
74,5000,16,1,14.849326
74,5000,16,2,1.851142
74,5000,16,3,0.253726
74,5000,16,4,0.002474
74,5000,16,5,0.038679
74,5000,16,6,0.011962
62,5000,17,1,229.951576
62,5000,17,2,8.132646
62,5000,17,3,0.722024
62,5000,17,4,0.003123
62,5000,17,5,0.153356
62,5000,17,6,0.027461
24,5000,18,1,
24,5000,18,2,4.102007
24,5000,18,3,1.520886
24,5000,18,4,0.0045
24,5000,18,5,0.363668
24,5000,18,6,0.06131
87,5000,19,1,
87,5000,19,2,4.797798
87,5000,19,3,17.896075
87,5000,19,4,0.003949
87,5000,19,5,1.373464
87,5000,19,6,0.138136
23,100,5,1,0.000002
23,100,5,2,0.000184
23,100,5,3,0.000029
23,100,5,4,0.0015
23,100,5,5,0.000009
23,100,5,6,0.000007
99,100,6,1,0.000005
99,100,6,2,0.000864
99,100,6,3,0.000048
99,100,6,4,0.001628
99,100,6,5,0.000007
99,100,6,6,0.000011
88,100,7,1,0.000018
88,100,7,2,0.000173
88,100,7,3,0.000105
88,100,7,4,0.001437
88,100,7,5,0.000016
88,100,7,6,0.000013
74,100,8,1,0.000075
74,100,8,2,0.00116
74,100,8,3,0.000225
74,100,8,4,0.001566
74,100,8,5,0.000037
74,100,8,6,0.000026
51,100,9,1,0.000581
51,100,9,2,0.000939
51,100,9,3,0.000526
51,100,9,4,0.001511
51,100,9,5,0.000074
51,100,9,6,0.000045
54,100,10,1,0.002445
54,100,10,2,0.003766
54,100,10,3,0.001232
54,100,10,4,0.001663
54,100,10,5,0.000167
54,100,10,6,0.000091
54,100,11,1,0.016468
54,100,11,2,0.011767
54,100,11,3,0.003085
54,100,11,4,0.001487
54,100,11,5,0.000372
54,100,11,6,0.000205
93,100,12,1,0.020623
93,100,12,2,0.000494
93,100,12,3,0.007387
93,100,12,4,0.001273
93,100,12,5,0.000896
93,100,12,6,0.000468
40,100,13,1,0.160983
40,100,13,2,0.045417
40,100,13,3,0.017536
40,100,13,4,0.001586
40,100,13,5,0.002192
40,100,13,6,0.001045
3,100,14,1,0.88552
3,100,14,2,0.037917
3,100,14,3,0.041993
3,100,14,4,0.001981
3,100,14,5,0.005639
3,100,14,6,0.002369
30,100,15,1,18.700892
30,100,15,2,0.479555
30,100,15,3,0.100947
30,100,15,4,0.004129
30,100,15,5,0.014165
30,100,15,6,0.005435
94,100,16,1,28.840316
94,100,16,2,0.142585
94,100,16,3,0.249655
94,100,16,4,0.002647
94,100,16,5,0.037837
94,100,16,6,0.011868
28,100,17,1,73.382177
28,100,17,2,1.359974
28,100,17,3,0.615125
28,100,17,4,0.004517
28,100,17,5,0.091548
28,100,17,6,0.026561
32,100,18,1,
32,100,18,2,0.492495
32,100,18,3,1.404018
32,100,18,4,0.003181
32,100,18,5,0.264359
32,100,18,6,0.059506
5,100,19,1,
5,100,19,2,0.421977
5,100,19,3,3.298203
5,100,19,4,0.002756
5,100,19,5,1.295646
5,100,19,6,0.131678
77,1000,5,1,0.000002
77,1000,5,2,0.000651
77,1000,5,3,0.000026
77,1000,5,4,0.001187
77,1000,5,5,0.000005
77,1000,5,6,0.000006
20,1000,6,1,0.000004
20,1000,6,2,0.000953
20,1000,6,3,0.00004
20,1000,6,4,0.000816
20,1000,6,5,0.000007
20,1000,6,6,0.000007
36,1000,7,1,0.000017
36,1000,7,2,0.025233
36,1000,7,3,0.000089
36,1000,7,4,0.001057
36,1000,7,5,0.000015
36,1000,7,6,0.000011
15,1000,8,1,0.000101
15,1000,8,2,0.005715
15,1000,8,3,0.000212
15,1000,8,4,0.00099
15,1000,8,5,0.000033
15,1000,8,6,0.000021
46,1000,9,1,0.000459
46,1000,9,2,0.001958
46,1000,9,3,0.000514
46,1000,9,4,0.000884
46,1000,9,5,0.000072
46,1000,9,6,0.000042
14,1000,10,1,0.006736
14,1000,10,2,0.003724
14,1000,10,3,0.001226
14,1000,10,4,0.000944
14,1000,10,5,0.00016
14,1000,10,6,0.00009
58,1000,11,1,0.017193
58,1000,11,2,0.088176
58,1000,11,3,0.003012
58,1000,11,4,0.001372
58,1000,11,5,0.000372
58,1000,11,6,0.000202
26,1000,12,1,0.088304
26,1000,12,2,0.07336
26,1000,12,3,0.007268
26,1000,12,4,0.001499
26,1000,12,5,0.00089
26,1000,12,6,0.000462
7,1000,13,1,0.097661
7,1000,13,2,0.00814
7,1000,13,3,0.01724
7,1000,13,4,0.001215
7,1000,13,5,0.002229
7,1000,13,6,0.00104
20,1000,14,1,0.80022
20,1000,14,2,1.055978
20,1000,14,3,0.04148
20,1000,14,4,0.002316
20,1000,14,5,0.005648
20,1000,14,6,0.002383
6,1000,15,1,1.634416
6,1000,15,2,0.060952
6,1000,15,3,0.099314
6,1000,15,4,0.002179
6,1000,15,5,0.014184
6,1000,15,6,0.00533
43,1000,16,1,101.961239
43,1000,16,2,0.383372
43,1000,16,3,0.2474
43,1000,16,4,0.002542
43,1000,16,5,0.037604
43,1000,16,6,0.011892
86,1000,17,1,374.251642
86,1000,17,2,2.058284
86,1000,17,3,0.617783
86,1000,17,4,0.00257
86,1000,17,5,0.091666
86,1000,17,6,0.026531
73,1000,18,1,
73,1000,18,2,0.574141
73,1000,18,3,1.396692
73,1000,18,4,0.004101
73,1000,18,5,0.272973
73,1000,18,6,0.059581
70,1000,19,1,
70,1000,19,2,3.653988
70,1000,19,3,3.420559
70,1000,19,4,0.003453
70,1000,19,5,1.222096
70,1000,19,6,0.13556
61,5000,5,1,0.000002
61,5000,5,2,0.003358
61,5000,5,3,0.000025
61,5000,5,4,0.001228
61,5000,5,5,0.000005
61,5000,5,6,0.000006
97,5000,6,1,0.000004
97,5000,6,2,0.005904
97,5000,6,3,0.000044
97,5000,6,4,0.001344
97,5000,6,5,0.000007
97,5000,6,6,0.000008
60,5000,7,1,0.000019
60,5000,7,2,0.009025
60,5000,7,3,0.000094
60,5000,7,4,0.001283
60,5000,7,5,0.000017
60,5000,7,6,0.000012
6,5000,8,1,0.000071
6,5000,8,2,0.149619
6,5000,8,3,0.000212
6,5000,8,4,0.001744
6,5000,8,5,0.000033
6,5000,8,6,0.000023
96,5000,9,1,0.000382
96,5000,9,2,0.065355
96,5000,9,3,0.000497
