seed,gridsize,ncount,method,besttour,runtime
58,100,26,2,473,0.471505
58,100,26,4,401,0.002038
58,100,26,6,401,15.057873
81,100,27,2,456,67.064901
81,100,27,4,414,0.005066
81,100,27,6,414,34.40364
23,100,28,2,,
23,100,28,4,421,0.011052
23,100,28,6,,
84,100,29,2,516,15.009989
84,100,29,4,471,0.163461
84,100,29,6,,
19,100,30,2,447,34.764992
19,100,30,4,432,0.011719
19,100,30,6,,
95,100,31,2,506,9.630574
95,100,31,4,483,0.009254
95,100,31,6,,
1,100,32,2,414,12.125013
1,100,32,4,388,0.00979
1,100,32,6,,
96,1000,26,2,4081,19.750044
96,1000,26,4,3736,0.00454
96,1000,26,6,3736,16.796684
76,1000,27,2,4871,16.618541
76,1000,27,4,4719,0.249881
76,1000,27,6,4719,32.299568
44,1000,28,2,4608,1.461343
44,1000,28,4,4124,0.003478
44,1000,28,6,4124,69.446994
43,1000,29,2,4438,2.426636
43,1000,29,4,4196,0.006606
43,1000,29,6,,
41,1000,30,2,5189,4.637648
41,1000,30,4,4717,0.003365
41,1000,30,6,,
38,1000,31,2,5246,114.58147
38,1000,31,4,4691,0.01161
38,1000,31,6,,
25,1000,32,2,,
25,1000,32,4,4706,0.01065
25,1000,32,6,,
31,5000,26,2,24972,8.612175
31,5000,26,4,22647,0.003409
31,5000,26,6,22647,15.008884
64,5000,27,2,27294,10.482926
64,5000,27,4,23851,0.004332
64,5000,27,6,23851,32.292698
17,5000,28,2,20674,1.064944
17,5000,28,4,20513,0.003039
17,5000,28,6,20513,69.453243
59,5000,29,2,25864,421.481387
59,5000,29,4,22540,0.003684
59,5000,29,6,,
31,5000,30,2,24626,278.227151
31,5000,30,4,23542,0.015404
31,5000,30,6,,
18,5000,31,2,,
18,5000,31,4,23421,0.009212
18,5000,31,6,,
62,5000,32,2,25977,155.112897
62,5000,32,4,24165,0.009792
62,5000,32,6,,
71,100,26,2,470,0.529259
71,100,26,4,460,0.291033
71,100,26,6,460,27.241649
81,100,27,2,456,88.949093
81,100,27,4,414,0.00513
81,100,27,6,414,65.165208
3,100,28,2,508,2.148653
3,100,28,4,431,0.350081
3,100,28,6,,
70,100,29,2,455,17.086914
70,100,29,4,419,0.004665
70,100,29,6,,
32,100,30,2,547,10.50269
32,100,30,4,508,0.047424
32,100,30,6,,
25,100,31,2,,
25,100,31,4,424,0.013768
25,100,31,6,,
40,100,32,2,477,396.633979
40,100,32,4,434,0.022738
40,100,32,6,,
73,1000,26,2,,
73,1000,26,4,4346,0.006371
73,1000,26,6,4346,15.120101
53,1000,27,2,4829,0.310987
53,1000,27,4,4482,0.003596
