seed,gridsize,ncount,method,runtime
5,100,20,2,0.420055
5,100,20,3,4.904769
5,100,20,4,0.001509
5,100,20,5,0.900586
5,100,20,6,0.143602
62,100,21,2,1.80604
62,100,21,3,20.400924
62,100,21,4,0.002019
62,100,21,5,2.047595
62,100,21,6,0.319306
58,100,22,2,1.470609
58,100,22,3,96.266237
58,100,22,4,0.001915
58,100,22,5,5.195325
58,100,22,6,0.700756
14,100,23,2,0.011698
14,100,23,3,
14,100,23,4,0.002216
14,100,23,5,11.866617
14,100,23,6,1.502549
8,100,24,2,108.200178
8,100,24,3,
8,100,24,4,0.40184
8,100,24,5,27.043109
8,100,24,6,3.248314
43,100,25,2,140.404969
43,100,25,3,
43,100,25,4,2.100261
43,100,25,5,61.573633
43,100,25,6,6.993344
5,1000,20,2,0.235953
5,1000,20,3,4.97897
5,1000,20,4,0.001592
5,1000,20,5,0.900033
5,1000,20,6,0.144081
3,1000,21,2,18.446354
3,1000,21,3,14.544258
3,1000,21,4,0.136924
3,1000,21,5,2.06676
3,1000,21,6,0.315011
67,1000,22,2,2.298524
67,1000,22,3,49.071047
67,1000,22,4,0.002111
67,1000,22,5,5.048906
67,1000,22,6,0.695914
38,1000,23,2,0.397218
38,1000,23,3,77.321666
38,1000,23,4,0.003619
38,1000,23,5,10.969255
38,1000,23,6,1.490292
51,1000,24,2,13.112093
51,1000,24,3,
51,1000,24,4,0.349238
51,1000,24,5,26.060265
51,1000,24,6,3.23193
81,1000,25,2,0.025862
81,1000,25,3,
81,1000,25,4,1.857631
81,1000,25,5,58.003149
81,1000,25,6,6.971822
71,5000,20,2,0.228718
71,5000,20,3,4.874757
71,5000,20,4,0.001468
71,5000,20,5,0.896751
71,5000,20,6,0.143477
24,5000,21,2,15.317372
24,5000,21,3,11.21643
24,5000,21,4,0.004269
24,5000,21,5,2.083472
24,5000,21,6,0.312983
1,5000,22,2,10.464402
1,5000,22,3,25.142959
1,5000,22,4,0.005268
1,5000,22,5,4.89879
1,5000,22,6,0.683333
66,5000,23,2,24.846428
66,5000,23,3,57.603835
66,5000,23,4,0.002289
66,5000,23,5,11.145965
66,5000,23,6,1.491302
18,5000,24,2,70.948699
18,5000,24,3,125.476302
18,5000,24,4,0.004829
18,5000,24,5,26.378549
18,5000,24,6,3.22145
73,5000,25,2,0.478061
73,5000,25,3,
73,5000,25,4,2.280147
73,5000,25,5,58.699504
73,5000,25,6,6.987512
43,100,20,2,6.342291
43,100,20,3,4.907748
43,100,20,4,0.001761
43,100,20,5,0.899091
43,100,20,6,0.143499
55,100,21,2,0.394445
55,100,21,3,11.185727
55,100,21,4,0.002197
55,100,21,5,2.059443
55,100,21,6,0.313867
97,100,22,2,0.003479
97,100,22,3,25.342073
97,100,22,4,0.001378
97,100,22,5,5.117762
97,100,22,6,0.685388
38,100,23,2,0.295673
38,100,23,3,56.809162
38,100,23,4,0.002157
38,100,23,5,11.140544
38,100,23,6,1.493678
10,100,24,2,0.151765
10,100,24,3,
10,100,24,4,0.179927
10,100,24,5,25.911329
10,100,24,6,3.232466
26,100,25,2,62.987004
26,100,25,3,
26,100,25,4,1.536715
26,100,25,5,56.605871
26,100,25,6,6.983494
65,1000,20,2,0.118991
65,1000,20,3,4.872268
65,1000,20,4,1.479612
65,1000,20,5,0.97259
65,1000,20,6,0.143464
71,1000,21,2,5.360008
71,1000,21,3,11.07996
71,1000,21,4,0.00282
71,1000,21,5,2.175875
71,1000,21,6,0.312632
63,1000,22,2,14.442085
63,1000,22,3,132.076949
63,1000,22,4,0.455781
63,1000,22,5,4.9399
63,1000,22,6,0.689195
6,1000,23,2,1.045532
6,1000,23,3,58.059387
6,1000,23,4,0.003353
6,1000,23,5,10.861974
6,1000,23,6,1.492959
53,1000,24,2,0.041659
53,1000,24,3,
53,1000,24,4,0.363297
53,1000,24,5,27.010394
53,1000,24,6,3.238274
19,1000,25,2,19.036903
19,1000,25,3,
19,1000,25,4,0.734767
19,1000,25,5,58.715926
