seed,gridsize,ncount,method,runtime
40,100,5,1,0.000001
40,100,5,2,0.000236
40,100,5,3,0.000016
40,100,5,4,0.000554
40,100,5,5,0.000003
40,100,5,6,0.000004
10,100,6,1,0.000002
10,100,6,2,0.000596
10,100,6,3,0.000031
10,100,6,4,0.000653
10,100,6,5,0.000004
10,100,6,6,0.000005
90,100,7,1,0.00001
90,100,7,2,0.004384
90,100,7,3,0.000071
90,100,7,4,0.000787
90,100,7,5,0.000009
90,100,7,6,0.000007
29,100,8,1,0.000064
29,100,8,2,0.001715
29,100,8,3,0.000179
29,100,8,4,0.000739
29,100,8,5,0.000022
29,100,8,6,0.000012
17,100,9,1,0.000263
17,100,9,2,0.006653
17,100,9,3,0.000407
17,100,9,4,0.000829
17,100,9,5,0.000047
17,100,9,6,0.000021
19,100,10,1,0.001724
19,100,10,2,0.003285
19,100,10,3,0.001011
19,100,10,4,0.001016
19,100,10,5,0.000118
19,100,10,6,0.000043
69,100,11,1,0.003648
69,100,11,2,0.034054
69,100,11,3,0.002379
69,100,11,4,0.001748
69,100,11,5,0.000276
69,100,11,6,0.000099
25,100,12,1,0.136706
25,100,12,2,0.05367
25,100,12,3,0.005611
25,100,12,4,0.000903
25,100,12,5,0.000657
25,100,12,6,0.000222
40,100,13,1,0.100428
40,100,13,2,0.028772
40,100,13,3,0.013156
40,100,13,4,0.000981
40,100,13,5,0.0015
40,100,13,6,0.000506
41,100,14,1,0.569251
41,100,14,2,0.000981
41,100,14,3,0.030907
41,100,14,4,0.00088
41,100,14,5,0.003428
41,100,14,6,0.001171
70,100,15,1,2.722611
70,100,15,2,0.054396
70,100,15,3,0.072024
70,100,15,4,0.001181
70,100,15,5,0.007805
70,100,15,6,0.002623
34,100,16,1,80.153607
34,100,16,2,0.02593
34,100,16,3,0.170388
34,100,16,4,0.00175
34,100,16,5,0.017538
34,100,16,6,0.005904
35,100,17,1,184.066366
35,100,17,2,0.07473
35,100,17,3,0.402201
35,100,17,4,0.001826
35,100,17,5,0.039505
35,100,17,6,0.013153
37,100,18,1,351.70006
37,100,18,2,0.438721
37,100,18,3,0.919911
37,100,18,4,0.003063
37,100,18,5,0.108037
37,100,18,6,0.02927
44,100,19,1,354.068208
44,100,19,2,0.227218
44,100,19,3,2.121977
44,100,19,4,0.001434
44,100,19,5,0.402024
44,100,19,6,0.064756
99,1000,5,1,0.000001
99,1000,5,2,0.000483
99,1000,5,3,0.000016
99,1000,5,4,0.00064
99,1000,5,5,0.000003
99,1000,5,6,0.000004
37,1000,6,1,0.000002
37,1000,6,2,0.001327
37,1000,6,3,0.000029
37,1000,6,4,0.000522
37,1000,6,5,0.000004
37,1000,6,6,0.000004
54,1000,7,1,0.000012
54,1000,7,2,0.000984
54,1000,7,3,0.000068
54,1000,7,4,0.000541
54,1000,7,5,0.000009
54,1000,7,6,0.000006
28,1000,8,1,0.000055
28,1000,8,2,0.003899
28,1000,8,3,0.000169
28,1000,8,4,0.000663
28,1000,8,5,0.00002
28,1000,8,6,0.000011
42,1000,9,1,0.000218
42,1000,9,2,0.163118
42,1000,9,3,0.000418
42,1000,9,4,0.000895
42,1000,9,5,0.000049
42,1000,9,6,0.000021
78,1000,10,1,0.001377
78,1000,10,2,0.002554
78,1000,10,3,0.000997
78,1000,10,4,0.000613
78,1000,10,5,0.000116
78,1000,10,6,0.000043
52,1000,11,1,0.003912
52,1000,11,2,0.001388
52,1000,11,3,0.002378
52,1000,11,4,0.000657
52,1000,11,5,0.00028
52,1000,11,6,0.000098
81,1000,12,1,0.007649
81,1000,12,2,0.0458
81,1000,12,3,0.005585
81,1000,12,4,0.000922
81,1000,12,5,0.000655
81,1000,12,6,0.000221
83,1000,13,1,0.136337
83,1000,13,2,0.011526
83,1000,13,3,0.013142
83,1000,13,4,0.000891
83,1000,13,5,0.001503
83,1000,13,6,0.000504
50,1000,14,1,1.080899
50,1000,14,2,1.635053
50,1000,14,3,0.030945
50,1000,14,4,0.001838
50,1000,14,5,0.003429
50,1000,14,6,0.00118
36,1000,15,1,3.945759
36,1000,15,2,0.070897
36,1000,15,3,0.071835
36,1000,15,4,0.001371
36,1000,15,5,0.007825
36,1000,15,6,0.002639
55,1000,16,1,4.866886
55,1000,16,2,1.106122
55,1000,16,3,0.1703
55,1000,16,4,0.003461
55,1000,16,5,0.017553
55,1000,16,6,0.005897
77,1000,17,1,357.03385
77,1000,17,2,0.06285
77,1000,17,3,0.400047
77,1000,17,4,0.001329
77,1000,17,5,0.03972
77,1000,17,6,0.013231
15,1000,18,1,65.797581
15,1000,18,2,0.009754
15,1000,18,3,0.918341
15,1000,18,4,0.001124
15,1000,18,5,0.111529
15,1000,18,6,0.029279
55,1000,19,1,429.928496
55,1000,19,2,0.532739
55,1000,19,3,2.134806
55,1000,19,4,0.001807
55,1000,19,5,0.40261
55,1000,19,6,0.064902
90,5000,5,1,0.000001
90,5000,5,2,0.00057
90,5000,5,3,0.000017
90,5000,5,4,0.000626
90,5000,5,5,0.000003
90,5000,5,6,0.000004
90,5000,6,1,0.000003
90,5000,6,2,0.006418
90,5000,6,3,0.000029
90,5000,6,4,0.000585
90,5000,6,5,0.000005
90,5000,6,6,0.000005
32,5000,7,1,0.00001
32,5000,7,2,0.08698
32,5000,7,3,0.000068
32,5000,7,4,0.000678
32,5000,7,5,0.000009
32,5000,7,6,0.000006
56,5000,8,1,0.000051
56,5000,8,2,0.153479
56,5000,8,3,0.000169
56,5000,8,4,0.000803
56,5000,8,5,0.00002
56,5000,8,6,0.00001
88,5000,9,1,0.000187
88,5000,9,2,0.011404
88,5000,9,3,0.000407
88,5000,9,4,0.000667
88,5000,9,5,0.000049
88,5000,9,6,0.000021
5,5000,10,1,0.001956
5,5000,10,2,0.007327
5,5000,10,3,0.00099
5,5000,10,4,0.000597
5,5000,10,5,0.000112
5,5000,10,6,0.000043
91,5000,11,1,0.006018
91,5000,11,2,0.008581
91,5000,11,3,0.002371
91,5000,11,4,0.000627
91,5000,11,5,0.000272
91,5000,11,6,0.000094
30,5000,12,1,0.06848
30,5000,12,2,0.033945
30,5000,12,3,0.005596
30,5000,12,4,0.000904
30,5000,12,5,0.000652
30,5000,12,6,0.000218
61,5000,13,1,0.413276
61,5000,13,2,0.016371
61,5000,13,3,0.013166
61,5000,13,4,0.000739
61,5000,13,5,0.001506
61,5000,13,6,0.000496
27,5000,14,1,0.641057
27,5000,14,2,6.18909
27,5000,14,3,0.030832
27,5000,14,4,0.001544
27,5000,14,5,0.003399
27,5000,14,6,0.001158
19,5000,15,1,27.621443
19,5000,15,2,0.01774
19,5000,15,3,0.071917
19,5000,15,4,0.000937
19,5000,15,5,0.00776
19,5000,15,6,0.002622
90,5000,16,1,19.301196
90,5000,16,2,0.863332
90,5000,16,3,0.169875
90,5000,16,4,0.00143
90,5000,16,5,0.017508
90,5000,16,6,0.005936
87,5000,17,1,
87,5000,17,2,0.135077
87,5000,17,3,0.407221
87,5000,17,4,0.00132
87,5000,17,5,0.042057
87,5000,17,6,0.013222
48,5000,18,1,273.982862
48,5000,18,2,3.075106
48,5000,18,3,0.94733
48,5000,18,4,0.002089
48,5000,18,5,0.130421
48,5000,18,6,0.029596
90,5000,19,1,
90,5000,19,2,0.472545
90,5000,19,3,2.136192
90,5000,19,4,0.192294
90,5000,19,5,0.382401
90,5000,19,6,0.065068
5,100,20,2,0.420055
5,100,20,3,4.904769
5,100,20,4,0.001509
5,100,20,5,0.900586
5,100,20,6,0.143602
62,100,21,2,1.80604
62,100,21,3,20.400924
62,100,21,4,0.002019
62,100,21,5,2.047595
62,100,21,6,0.319306
58,100,22,2,1.470609
58,100,22,3,96.266237
58,100,22,4,0.001915
58,100,22,5,5.195325
58,100,22,6,0.700756
14,100,23,2,0.011698
14,100,23,3,
14,100,23,4,0.002216
14,100,23,5,11.866617
14,100,23,6,1.502549
8,100,24,2,108.200178
8,100,24,3,
8,100,24,4,0.40184
8,100,24,5,27.043109
8,100,24,6,3.248314
43,100,25,2,140.404969
43,100,25,3,
43,100,25,4,2.100261
43,100,25,5,61.573633
43,100,25,6,6.993344
5,1000,20,2,0.235953
5,1000,20,3,4.97897
5,1000,20,4,0.001592
5,1000,20,5,0.900033
5,1000,20,6,0.144081
3,1000,21,2,18.446354
3,1000,21,3,14.544258
3,1000,21,4,0.136924
3,1000,21,5,2.06676
3,1000,21,6,0.315011
67,1000,22,2,2.298524
67,1000,22,3,49.071047
67,1000,22,4,0.002111
67,1000,22,5,5.048906
67,1000,22,6,0.695914
38,1000,23,2,0.397218
38,1000,23,3,77.321666
38,1000,23,4,0.003619
38,1000,23,5,10.969255
38,1000,23,6,1.490292
51,1000,24,2,13.112093
51,1000,24,3,
51,1000,24,4,0.349238
51,1000,24,5,26.060265
51,1000,24,6,3.23193
81,1000,25,2,0.025862
81,1000,25,3,
81,1000,25,4,1.857631
81,1000,25,5,58.003149
81,1000,25,6,6.971822
71,5000,20,2,0.228718
71,5000,20,3,4.874757
71,5000,20,4,0.001468
71,5000,20,5,0.896751
71,5000,20,6,0.143477
24,5000,21,2,15.317372
24,5000,21,3,11.21643
24,5000,21,4,0.004269
24,5000,21,5,2.083472
24,5000,21,6,0.312983
1,5000,22,2,10.464402
1,5000,22,3,25.142959
1,5000,22,4,0.005268
1,5000,22,5,4.89879
1,5000,22,6,0.683333
66,5000,23,2,24.846428
66,5000,23,3,57.603835
66,5000,23,4,0.002289
66,5000,23,5,11.145965
66,5000,23,6,1.491302
18,5000,24,2,70.948699
18,5000,24,3,125.476302
18,5000,24,4,0.004829
18,5000,24,5,26.378549
18,5000,24,6,3.22145
73,5000,25,2,0.478061
73,5000,25,3,
73,5000,25,4,2.280147
73,5000,25,5,58.699504
73,5000,25,6,6.987512
58,100,26,2,0.471505
58,100,26,4,0.002038
58,100,26,6,15.057873
81,100,27,2,67.064901
81,100,27,4,0.005066
81,100,27,6,34.40364
23,100,28,2,
23,100,28,4,0.011052
23,100,28,6,
84,100,29,2,15.009989
